song_id,instrument,confidence_score
3361,instrument al,0.844
3364,instrument al,0.901
3365,instrument al,0.826
3372,instrument al,0.844
3377,instrument al,0.956
3379,instrument al,0.912
3380,instrument al,0.884
3381,instrument al,0.939
3389,instrument al,0.803
3406,instrument al,0.755
3407,instrument al,0.95
3408,instrument al,0.91
3409,instrument al,0.849
3410,instrument al,0.651
3411,instrument al,0.845
3412,instrument al,0.924
3413,instrument al,0.961
3416,instrument al,0.874
3418,instrument al,0.737
3434,instrument al,0.949
3441,instrument al,0.949
3474,instrument al,0.859
3475,instrument al,0.948
3478,instrument al,0.972
3479,instrument al,0.935
3480,instrument al,0.694
3481,instrument al,0.896
3482,instrument al,0.897
3483,instrument al,0.783
3484,instrument al,0.916
3485,instrument al,0.952
3493,instrument al,0.598
3498,instrument al,0.863
3514,instrument al,0.869
3566,instrument al,0.942
3567,instrument al,0.933
3569,instrument al,0.936
3571,instrument al,0.821
3572,instrument al,0.607
3573,instrument al,0.847
3575,instrument al,0.914
3579,instrument al,0.926
3582,instrument al,0.625
3585,instrument al,0.898
3586,instrument al,0.928
3587,instrument al,0.83
3588,instrument al,0.529
3589,instrument al,0.841
3598,instrument al,0.834
3599,instrument al,0.923
3600,instrument al,0.863
3601,instrument al,0.841
3602,instrument al,0.902
3603,instrument al,0.866
3604,instrument al,0.913
3605,instrument al,0.907
3606,instrument al,0.83
3607,instrument al,0.961
3608,instrument al,0.936
3609,instrument al,0.923
3610,instrument al,0.89
3611,instrument al,0.957
3612,instrument al,0.936
3613,instrument al,0.743
3614,instrument al,0.902
3615,instrument al,0.893
3616,instrument al,0.946
3617,instrument al,0.976
3618,instrument al,0.91
3619,instrument al,0.571
3620,instrument al,0.921
3621,instrument al,0.883
3622,instrument al,0.916
3623,instrument al,0.93
3624,instrument al,0.853
3625,instrument al,0.945
3626,instrument al,0.955
3627,instrument al,0.988
3628,instrument al,0.953
3629,instrument al,0.914
3630,instrument al,0.631
3631,instrument al,0.818
3632,instrument al,0.577
3634,instrument al,0.747
3636,instrument al,0.536
3638,instrument al,0.881
3639,instrument al,0.933
3640,instrument al,0.852
3641,instrument al,0.922
3642,instrument al,0.949
3643,instrument al,0.95
3644,instrument al,0.923
3645,instrument al,0.948
3646,instrument al,0.887
3647,instrument al,0.852
3648,instrument al,0.716
3649,instrument al,0.804
3650,instrument al,0.952
3651,instrument al,0.801
3652,instrument al,0.913
3653,instrument al,0.916
3654,instrument al,0.962
3655,instrument al,0.576
3657,instrument al,0.823
3658,instrument al,0.85
3659,instrument al,0.84
3660,instrument al,0.889
3661,instrument al,0.644
3662,instrument al,0.888
3663,instrument al,0.924
3664,instrument al,0.892
3666,instrument al,0.869
3667,instrument al,0.842
3668,instrument al,0.803
3669,instrument al,0.893
3670,instrument al,0.791
3671,instrument al,0.506
3675,instrument al,0.97
3676,instrument al,0.878
3677,instrument al,0.959
3678,instrument al,0.919
3679,instrument al,0.912
